@relation 'litere-weka.filters.unsupervised.attribute.Remove-R1-2,11,18-19-weka.filters.unsupervised.attribute.InterquartileRange-Rfirst-last-O7.3-E8.7-weka.filters.unsupervised.attribute.Remove-R22-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-Clast-Llast-weka.filters.unsupervised.attribute.Remove-R21'

@attribute TOTALSES numeric
@attribute W0 numeric
@attribute W1 numeric
@attribute W2 numeric
@attribute W3 numeric
@attribute W4 numeric
@attribute W5 numeric
@attribute W6 numeric
@attribute MSG_TOTALSEND numeric
@attribute MSG_TOTALRECV numeric
@attribute MSG_MEANSEND numeric
@attribute MSG_MEANRECV numeric
@attribute MSG_TOTALSEND_WDS numeric
@attribute MSG_TOTALRECV_WDS numeric
@attribute TOTALQUEST numeric
@attribute GOODQUEST numeric
@attribute QUESTPERC numeric
@attribute TOTALHW numeric
@attribute MEAN_TOTALHW_GRADE numeric
@attribute MEAN_HOMEWORKS_GRADE numeric

@data
15,1,0,3,2,0,8,1,8,12,0,347,176,272,442,182,41,0,0,0
1,0,0,1,0,0,0,0,0,10,0,316,0,235,442,182,41,0,0,0
193,21,40,36,20,30,18,28,0,4,0,564,0,61,442,182,41,0,0,0
8,0,0,2,0,5,1,0,0,9,0,261,0,193,442,182,41,0,0,0
11,1,2,3,1,0,3,1,0,10,0,316,0,235,442,182,41,0,0,0
54,7,3,11,8,5,10,10,0,9,0,261,0,193,442,182,41,0,0,0
23,2,0,2,4,4,8,3,0,9,0,336,0,221,442,182,41,0,0,0
42,1,2,22,8,3,2,4,0,0,0,0,0,0,442,182,41,0,0,0
61,4,5,7,5,21,12,7,0,9,0,261,0,193,442,182,41,0,0,0
36,0,3,7,3,3,15,5,0,10,0,316,0,235,442,182,41,0,0,0
131,12,18,21,16,16,29,19,32,10,4,412,728,206,442,182,41,0,0,0
58,0,3,11,9,15,12,8,6,10,184,316,139,235,442,182,41,0,0,0
71,8,20,7,11,5,8,12,0,3,0,470,0,79,442,182,41,0,0,0
41,2,0,3,4,4,22,6,9,9,0,261,207,193,442,182,41,0,0,0
7,0,1,1,2,3,0,0,0,10,0,344,0,196,389,132,33,0,0,0
153,16,19,13,15,15,25,50,4,4,468,564,142,64,442,182,41,0,0,0
0,0,0,0,0,0,0,0,5,17,0,333,140,389,1379,1080,78,0,0,0
0,0,0,0,0,0,0,0,0,4,0,126,0,126,146,67,45,0,0,0
198,23,25,26,23,33,28,40,0,11,0,356,0,197,1379,1080,78,0,0,0
214,32,42,37,30,29,27,17,3,5,205,258,67,140,61,17,27,0,0,0
26,4,0,1,0,12,7,2,0,3,0,434,0,70,184,62,33,0,0,0
1,0,0,1,0,0,0,0,0,6,0,379,0,155,184,62,33,0,0,0
52,8,12,5,11,7,5,4,34,7,162,16,918,176,1407,890,63,16,0,0
68,12,12,10,16,9,5,4,41,8,70,126,1150,202,1407,890,63,0,0,0
14,1,2,1,2,4,1,3,0,7,0,71,0,167,1407,890,63,0,0,0
18,0,0,7,6,2,2,1,13,5,0,20,277,114,1407,890,63,0,0,0
40,10,9,2,4,10,2,3,0,7,0,44,0,176,1407,890,63,0,0,0
10,1,5,0,2,1,0,1,7,7,0,27,175,167,1407,890,63,0,0,0
9,1,2,3,0,3,0,0,30,7,191,185,794,167,1407,890,63,0,0,0
67,8,13,11,12,8,7,8,0,8,0,43,0,143,1407,890,63,24,0.333333,0.266667
61,8,4,6,18,13,4,8,6,4,0,18,162,76,1407,890,63,0,0,0
89,9,14,8,10,19,9,20,0,4,0,18,0,76,1407,890,63,0,0,0
164,36,26,17,27,27,18,13,2,9,91,138,169,225,1407,890,63,24,0.375,0.3
10,2,1,2,2,1,1,1,29,6,0,215,783,126,1407,890,63,0,0,0
174,39,36,19,22,16,21,21,10,8,11,109,318,144,1407,890,63,22,0.818182,0.6
46,9,13,7,4,6,5,2,0,6,0,215,0,126,1407,890,63,14,0,0
29,3,12,1,3,7,2,1,0,6,0,215,0,126,1407,890,63,0,0,0
246,73,32,39,32,34,12,24,2,4,0,-12,75,96,1407,890,63,28,0.517857,0.483333
105,21,14,9,17,16,16,12,113,11,79,109,3847,384,1407,890,63,24,0.6875,0.55
111,24,21,10,14,15,19,8,0,9,0,52,0,179,1407,890,63,18,0.777778,0.466667
152,25,30,23,14,15,31,14,0,8,0,109,0,144,1407,890,63,30,0.3,0.3
214,26,23,21,30,40,40,34,1,8,0,17,31,188,1407,890,63,24,0.4375,0.35
16,5,2,1,2,1,1,4,0,6,0,215,0,126,1407,890,63,0,0,0
60,10,5,13,13,4,9,6,33,7,38,16,735,118,1407,890,63,22,0.454545,0.333333
45,9,6,5,10,8,2,5,11,3,0,218,284,75,146,67,45,0,0,0
65,2,8,10,11,17,11,6,0,1,0,0,0,26,146,67,45,6,0,0
10,0,3,0,6,1,0,0,0,3,0,218,0,75,146,67,45,4,0,0
133,21,14,19,26,18,16,19,50,3,85,218,1206,75,146,67,45,6,0,0
63,15,13,7,12,6,8,2,22,4,129,167,529,103,146,67,45,26,0,0
55,11,6,8,3,12,8,7,20,3,0,218,500,75,146,67,45,14,0,0
66,17,15,14,5,4,6,5,0,3,0,218,0,75,146,67,45,6,0,0
135,16,28,17,22,22,14,16,6,4,0,3,208,117,146,67,45,6,0,0
32,2,4,4,10,6,2,4,0,1,0,0,0,26,146,67,45,2,0,0
50,11,8,7,3,4,8,9,0,3,0,218,0,75,146,67,45,2,0,0
10,1,3,2,0,1,0,3,0,3,0,218,0,75,146,67,45,0,0,0
47,7,6,5,11,3,13,2,23,2,143,90,530,57,146,67,45,8,0,0
246,38,65,34,37,23,25,24,9,8,104,116,333,236,146,67,45,28,0.714286,0.47619
52,5,5,9,10,10,10,3,41,2,18,328,1019,52,146,67,45,0,0,0
54,9,4,7,7,15,5,7,0,4,0,197,0,117,146,67,45,4,0,0
6,1,0,3,2,0,0,0,40,4,0,197,880,117,146,67,45,0,0,0
2,0,0,0,0,2,0,0,8,4,0,197,200,117,146,67,45,0,0,0
59,11,11,6,3,4,15,9,8,5,0,211,184,140,146,67,45,10,0,0
9,3,1,2,2,0,1,0,0,3,0,218,0,75,146,67,45,0,0,0
59,11,10,7,4,12,10,5,0,3,0,218,0,75,146,67,45,0,0,0
69,7,9,16,7,15,12,3,0,3,0,218,0,75,146,67,45,12,0,0
25,5,5,5,3,3,3,1,6,4,0,197,132,117,146,67,45,0,0,0
31,7,4,4,9,6,0,1,0,3,0,218,0,75,146,67,45,0,0,0
57,5,8,16,9,9,6,4,0,3,0,218,0,75,146,67,45,0,0,0
220,41,32,35,21,44,25,22,3,4,105,105,79,64,1379,1080,78,0,0,0
247,29,35,29,26,41,53,34,6,5,55,128,211,104,1379,1080,78,0,0,0
17,3,6,1,2,3,1,1,2,5,2,118,88,106,1379,1080,78,0,0,0
43,6,14,2,5,3,4,9,8,10,0,186,192,209,1407,890,63,0,0,0
84,18,15,16,19,9,2,5,8,6,26,110,207,197,61,17,27,0,0,0
33,4,6,4,2,10,5,2,0,6,0,110,0,197,61,17,27,0,0,0
168,48,28,20,25,21,18,8,53,9,80,171,1459,296,61,17,27,0,0,0
0,0,0,0,0,0,0,0,0,5,0,105,0,135,146,67,45,0,0,0
58,6,15,9,8,12,2,6,8,5,128,188,211,143,1407,890,63,0,0,0
58,6,15,9,8,12,2,6,8,5,128,188,211,143,6,0,0,0,0,0
58,6,15,9,8,12,2,6,8,5,128,188,211,143,0,0,0,0,0,0
58,6,15,9,8,12,2,6,8,5,128,188,211,143,1,0,0,0,0,0
58,6,15,9,8,12,2,6,8,5,128,188,211,143,33,4,12,0,0,0
58,6,15,9,8,12,2,6,8,5,128,188,211,143,146,67,45,0,0,0
58,6,15,9,8,12,2,6,8,5,128,188,211,143,389,132,33,0,0,0
58,6,15,9,8,12,2,6,8,5,128,188,211,143,0,0,0,0,0,0
58,6,15,9,8,12,2,6,8,5,128,188,211,143,0,0,0,0,0,0
58,4,1,10,20,19,3,1,8,3,0,211,176,84,33,4,12,18,0,0
