@relation final-weka.filters.unsupervised.attribute.Remove-R1

@attribute course numeric
@attribute n_assignment numeric
@attribute n_assignment_a numeric
@attribute n_assignment_s numeric
@attribute n_messages numeric
@attribute n_posts numeric
@attribute n_read numeric
@attribute n_quiz numeric
@attribute n_quiz_a numeric
@attribute n_quiz_s numeric
@attribute n_messages_ap numeric
@attribute total_time_assignment numeric
@attribute total_time_quiz numeric
@attribute total_time_forum numeric
@attribute nota numeric

@data
110,11,0,11,0,0,0,13,5,8,0,1685,5083,252,4
110,11,0,11,0,0,0,11,6,5,0,1080,2656,140,4
110,9,0,9,0,2,0,13,8,5,0,461,4360,5290,6.8
110,10,0,10,0,1,0,13,8,5,0,991,0,1056,7.1
110,0,0,0,0,0,0,2,1,1,0,17,561,923,1
110,11,0,11,0,2,0,10,7,3,0,1021,6469,3268,6.8
111,13,0,13,0,3,0,0,0,0,0,7243,0,1723,4
111,13,0,13,0,4,0,0,0,0,0,3336,0,3394,5
111,0,0,0,0,0,0,0,0,0,0,283,0,1402,1
111,13,0,13,0,7,0,0,0,0,0,1241,0,3413,9
111,13,0,13,0,6,0,0,0,0,0,4730,0,3157,7
111,13,0,13,0,5,0,0,0,0,0,1619,0,4774,7.5
111,13,0,13,0,8,0,0,0,0,0,1655,0,6033,7
111,9,0,9,0,8,0,0,0,0,0,732,0,2035,5
111,13,0,13,0,7,0,0,0,0,0,1624,0,0,6.1
111,13,0,13,0,7,0,0,0,0,0,1438,0,2239,4
111,6,0,6,0,6,0,0,0,0,0,1928,0,1691,4
111,10,0,10,0,2,0,0,0,0,0,842,0,2670,7.5
111,13,0,13,0,4,0,0,0,0,0,2069,0,1221,3
46,0,0,0,0,0,0,0,0,0,0,0,4,0,5.3
46,0,0,0,0,1,0,5,5,0,0,0,11422,1956,5.7
46,0,0,0,0,1,0,4,4,0,0,0,7320,1474,2.8
46,0,0,0,0,1,0,5,5,0,0,0,9863,0,9.05
46,0,0,0,0,0,0,4,4,0,0,0,5626,343,9.1
46,0,0,0,0,0,0,1,1,0,0,0,812,0,5.8
46,0,0,0,0,0,0,5,2,3,0,0,1712,234,6.55
46,0,0,0,0,1,0,5,5,0,0,0,9162,0,7.8
46,0,0,0,0,0,0,0,0,0,0,0,346,2364,4.1
94,0,0,0,0,0,4,0,0,0,0,0,126,688,0
94,0,0,0,0,0,4,0,0,0,0,0,203,961,3.8
94,2,0,2,0,0,0,1,1,0,0,0,333,527,8
94,0,0,0,0,2,4,0,0,0,0,0,0,478,3.6
94,2,0,2,0,0,4,2,2,0,0,120,497,262,9.5
94,1,0,1,0,0,4,5,3,2,0,7,2338,394,3.25
94,2,0,2,0,4,4,5,5,0,0,544,2090,4370,10
94,1,0,1,0,0,4,1,0,1,0,0,523,182,0
94,2,0,2,0,0,4,3,3,0,0,21,1633,66,5.5
94,2,0,2,0,0,4,3,1,2,0,65,1248,308,6.5
94,2,0,2,0,1,4,4,4,0,0,120,951,0,8
94,1,0,1,0,0,4,1,0,1,0,217,717,0,3.2
94,2,0,2,0,0,4,3,3,0,0,178,1071,504,5.5
94,0,0,0,0,6,4,9,6,3,0,0,1774,5518,2.9
94,2,0,2,0,0,4,13,13,0,0,605,2754,667,0
94,2,0,2,0,0,4,4,4,0,0,266,1543,585,2.9
94,2,0,2,0,0,4,8,7,1,0,120,1747,125,7.5
94,2,0,2,0,0,4,2,2,0,0,26,768,0,2.6
94,2,0,2,0,1,4,15,15,0,0,15,2497,2822,3.8
94,2,0,2,0,0,4,2,0,2,0,120,1330,0,0
94,2,0,2,0,0,4,5,4,1,0,9,1059,178,5.5
94,0,0,0,0,1,4,0,0,0,0,0,126,2821,2.75
94,2,0,2,0,0,4,3,3,0,0,0,1096,665,6
94,1,0,1,0,0,4,7,7,0,0,0,1473,186,6.5
94,2,0,2,0,0,4,16,16,0,0,185,2428,63,10
94,2,0,2,0,0,4,3,3,0,0,261,932,1059,8
94,2,0,2,0,0,4,6,6,0,0,73,1394,445,6
94,0,0,0,0,1,4,0,0,0,0,0,8,466,2.4
94,2,0,2,0,0,4,6,6,0,0,120,1324,496,8.5
94,2,0,2,0,0,4,3,3,0,0,9,0,0,3.3
94,2,0,2,0,1,4,18,18,0,0,121,4148,504,9
94,1,0,1,0,0,4,4,3,1,0,0,938,2374,0
94,0,0,0,0,0,4,0,0,0,0,120,358,2748,5
94,2,0,2,0,0,4,1,0,1,0,182,274,925,5
94,1,0,1,0,0,4,2,1,1,0,601,1024,1171,0
94,2,0,2,0,0,4,3,2,1,0,120,1026,515,6
94,2,0,2,0,0,4,3,3,0,0,5,925,1301,4
94,2,0,2,0,0,4,4,3,1,0,29,698,136,6.5
94,2,0,2,0,0,4,10,10,0,0,120,1992,23,8
94,2,0,2,0,0,4,3,3,0,0,120,854,422,6.5
94,2,0,2,0,0,4,0,0,0,0,120,316,333,5
94,1,0,1,0,0,4,3,1,2,0,0,610,540,6.5
94,2,0,2,0,0,4,10,10,0,0,52,2837,100,8.5
94,2,0,2,0,0,4,7,7,0,0,120,1404,33,8.5
94,0,0,0,0,0,4,4,4,0,0,9,1346,198,4.4
94,2,0,2,0,0,4,1,0,1,0,120,786,0,5
94,2,0,2,0,2,4,5,5,0,0,240,1353,1608,0
94,2,0,2,0,0,4,12,11,1,0,120,2233,699,8.5
94,2,0,2,0,0,4,5,5,0,0,240,1262,524,0
94,0,0,0,0,0,4,6,4,2,0,0,733,284,0
94,2,0,2,0,0,4,14,14,0,0,120,2245,255,9.5
94,1,0,1,0,0,4,3,3,0,0,0,990,1045,0
94,2,0,2,0,1,4,12,12,0,0,9,1999,1179,5.5
94,1,0,1,0,0,4,1,0,1,0,120,852,0,0
94,0,0,0,0,0,4,0,0,0,0,0,208,120,2.4
94,1,0,1,0,0,4,3,3,0,0,66,980,692,6.5
94,1,0,1,0,0,4,3,3,0,0,0,998,29,4
94,1,0,1,0,0,4,3,2,1,0,0,1231,1701,0
94,2,0,2,0,0,4,3,3,0,0,120,1256,985,8
94,0,0,0,0,0,4,0,0,0,0,0,131,21,0
94,1,0,1,0,0,4,6,6,0,0,248,1408,81,5.5
94,2,0,2,0,0,4,3,3,0,0,120,1245,327,7
94,1,0,1,0,0,4,13,12,1,0,240,1860,375,3.5
94,1,0,1,0,0,4,2,2,0,0,0,643,148,5.5
94,1,0,1,0,0,4,2,1,1,0,0,867,0,5.5
94,1,0,1,0,0,4,6,6,0,0,0,1064,87,6
218,10,0,10,0,1,0,1,1,0,0,415,0,1417,6
218,0,0,0,0,0,0,2,2,0,0,0,641,1032,3.5
218,11,0,11,0,1,0,7,5,2,0,890,4667,5414,6
218,0,0,0,0,1,0,0,0,0,0,0,360,1120,0
218,11,0,11,0,1,0,5,4,1,0,1913,2257,1299,0
218,11,0,11,0,0,0,4,4,0,0,1464,1066,921,3.5
218,0,0,0,0,1,0,2,2,0,0,0,504,865,0
218,10,0,10,0,1,0,6,5,1,0,831,1574,1828,6.5
218,0,0,0,0,0,0,0,0,0,0,0,129,0,0
218,11,0,11,0,2,0,7,7,0,0,764,1687,2123,3
218,11,0,11,0,1,0,8,7,1,0,503,4735,4413,5.5
218,10,0,10,0,0,0,2,2,0,0,870,1237,100,2.5
218,10,0,10,0,0,0,6,5,1,0,332,1996,721,5.25
218,0,0,0,0,0,0,2,2,0,0,0,586,6,0
218,11,0,11,0,1,0,5,5,0,0,721,1996,269,7
218,10,0,10,0,0,0,3,2,1,0,159,2404,1717,2
218,11,0,11,0,0,0,5,3,2,0,250,3186,0,7.5
218,0,0,0,0,3,0,6,5,1,0,0,2040,6049,0
218,11,0,11,0,2,0,6,6,0,0,533,2215,3215,5
218,11,0,11,0,0,0,3,3,0,0,809,0,1137,2.5
218,11,0,11,0,1,0,9,6,3,0,1436,4588,6243,0
218,0,0,0,0,0,0,0,0,0,0,0,213,0,5
218,0,0,0,0,0,0,0,0,0,0,0,0,0,1
218,11,0,11,0,1,0,3,3,0,0,236,1212,1070,7.25
218,0,0,0,0,0,0,0,0,0,0,0,319,1139,3.25
218,9,0,9,0,0,0,0,0,0,0,217,0,455,2.75
218,0,0,0,0,0,0,3,2,1,0,120,1864,1114,0
218,11,0,11,0,1,0,9,9,0,0,643,2433,1567,2.5
218,11,0,11,0,1,0,9,8,1,0,62,3134,1778,7.25
218,0,0,0,0,0,0,2,1,1,0,0,1932,0,0
218,0,0,0,0,0,0,0,0,0,0,0,0,155,0
218,10,0,10,0,2,0,6,6,0,0,1272,2493,0,2.5
218,10,0,10,0,1,0,3,3,0,0,292,1098,367,6
